,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
DNA-directed RNA polymerase complex,0.09147911842295145,0.09147911842295145,0.09147911842295145,0.09147911842295145,0.09147911842295145,0.09147911842295145,0.09147911842295145,0.09147911842295145,1.3134826199444845,0.458217821242831,0.458217821242831,1.3134826199444845,0.458217821242831,0.458217821242831,0.458217821242831,0.458217821242831,0.458217821242831,0.458217821242831,0.09147911842295145,1.3134826199444845,1.3134826199444845,1.3134826199444845,0.09147911842295145,0.09147911842295145,0.09147911842295145,0.09147911842295145
FAD binding,0.06107292619089,0.20605122052406286,0.06107292619089,0.5097685535207666,0.20605122052406286,0.06107292619089,0.20605122052406286,0.5097685535207666,0.06107292619089,0.06107292619089,0.20605122052406286,0.06107292619089,0.5097685535207666,0.5097685535207666,0.5097685535207666,0.20605122052406286,0.06107292619089,0.06107292619089,0.5097685535207666,0.5097685535207666,0.5097685535207666,0.5097685535207666,0.5097685535207666,2.766053968676746,1.0199804770446055,1.0199804770446055
FMN binding,0.14911154563528836,0.14911154563528836,0.14911154563528836,0.7241625250138584,0.7241625250138584,0.14911154563528836,0.14911154563528836,0.14911154563528836,0.7241625250138584,0.14911154563528836,0.7241625250138584,0.14911154563528836,0.14911154563528836,0.14911154563528836,0.14911154563528836,0.14911154563528836,0.14911154563528836,0.14911154563528836,0.14911154563528836,1.988969619704657,1.988969619704657,1.988969619704657,0.14911154563528836,0.14911154563528836,0.14911154563528836,0.14911154563528836
GMP biosynthetic process,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,2.4798128377361532,2.4798128377361532,2.4798128377361532,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641
GTP binding,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.9947292312106385,5.328515666158359,0.9947292312106385,0.20814186998388484,0.20814186998388484,0.20814186998388484,0.20814186998388484
GTPase activity,0.09719942812266849,0.09719942812266849,0.09719942812266849,0.8993201691726294,0.8993201691726294,0.8993201691726294,0.8993201691726294,0.8993201691726294,0.09719942812266849,0.09719942812266849,0.8993201691726294,0.8993201691726294,0.09719942812266849,0.09719942812266849,0.09719942812266849,0.09719942812266849,0.8993201691726294,0.8993201691726294,0.09719942812266849,0.09719942812266849,0.8993201691726294,0.8993201691726294,0.09719942812266849,0.09719942812266849,0.09719942812266849,0.09719942812266849
L-arginine transport,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,6.325917988801632
L-cysteine desulfhydrase activity,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,1.6529204029135842,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,1.6529204029135842,0.16504315209945464,1.6529204029135842,1.6529204029135842,1.6529204029135842,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464
L-serine metabolic process,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,2.4798128377361532,2.4798128377361532,2.4798128377361532,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641
Mo-molybdopterin cofactor biosynthetic process,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,1.6529204029135842,0.16504315209945464,0.16504315209945464,1.6529204029135842,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,1.6529204029135842,1.6529204029135842,1.6529204029135842,0.16504315209945464,0.16504315209945464,0.16504315209945464
